Product,Brewer Value,Brand Value,Package Value,Segment Value,AB Segment Value,AB Subsegment Value,AB Megasegment Value,Date,Display Count,Display Share,Distribution (%),Feature Count,Feature Share,Price per Unit,Price per Volume,Unit Sales,Volume Sales,Volume Share of Category, Average of Max TemperatureC , Average of Mean TemperatureC , Average of Min TemperatureC , Average of Dew PointC , Average of MeanDew PointC , Average of Min DewpointC , Average of Max Humidity , Average of  Mean Humidity , Average of  Min Humidity , Average of  Max Sea Level PressurehPa , Average of  Mean Sea Level PressurehPa , Average of  Min Sea Level PressurehPa , Average of  Max VisibilityKm , Average of  Mean VisibilityKm , Average of  Min VisibilitykM , Average of  Max Wind SpeedKm/h , Average of  Mean Wind SpeedKm/h , Average of  Max Gust SpeedKm/h , Average of Precipitationmm , Average of  CloudCover , Average of WindDirDegrees ," State GDP(Millions of dollars, seasonally adjusted at annual rates.) "," Alcohol Retail Trade employees (in 1000s, State) ","State Personal income (thousands of dollars, seasonally adjusted,quarterly)","Resident Population in city, Thousands of Persons, Annual, Not Seasonally Adjusted","Per Capita Personal Income in city, Dollars, Annual, Not Seasonally Adjusted",Occupancy (%) ,Labor Force in city,Employment in city,Unemployment in city,Unemp. Rate in city,"Consumer Price Index, Malt Beverages","Consumer Price Index, Wine",Producer Price Index by Industry
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,6/15/2014,70,0.261432088,0.702385628,46,0.099597456,12.14769763,24.29539527,6113,3056.618342,0.267018548,25,20.42857143,15.71428571,14.42857143,13.14285714,11.57142857,86.14285714,67.14285714,47.14285714,1013,1012,1011.142857,16,15.28571429,12.71428571,13.28571429,3.142857143,24.33333333,0,1.428571429,191.8571429,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,6/22/2014,37,0.137402428,0.714142691,218,0.527178083,12.5050679,25.0101358,5542,2771.104354,0.264135912,25.28571429,21.42857143,17.42857143,16.42857143,15.42857143,14.42857143,87.42857143,72.42857143,56.57142857,1012.714286,1011.714286,1010.285714,16,14.42857143,11.28571429,14.57142857,3.428571429,25.28571429,0,3.428571429,243,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,7/13/2014,29,0.105288687,0.732254359,26,0.072924439,12.47028739,24.94057477,5930,2965.022534,0.279880514,26.71428571,23,19.14285714,16.85714286,15.85714286,14.85714286,81.85714286,68.14285714,54,1015.857143,1014.714286,1013.142857,16,14.71428571,11,15.28571429,3.714285714,24.57142857,0,2.571428571,249.2857143,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,7/20/2014,38,0.131208479,0.701960431,201,0.534447553,12.51290453,25.02580906,5462,2731.014715,0.274481194,29.71428571,24.57142857,19,17,16.42857143,14.57142857,83.57142857,64.71428571,45,1015,1013.285714,1011.857143,16,15.71428571,13.71428571,16.14285714,3.857142857,25.28571429,0,1,243.4285714,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,7/27/2014,45,0.167572276,0.71303065,215,0.609451492,12.73072925,25.4614585,5220,2609.965759,0.245847462,30.8,25.4,19.6,17.6,16.4,12,83,60.2,36.6,1015.6,1014,1012.4,16,15.8,13.4,14.2,3.4,23.6,0,0,248.4,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,08-10-2014,53,0.187505752,0.715885145,214,0.645905737,12.87114137,25.74228275,4747,2373.714593,0.228640609,29.42857143,24,18.28571429,17.14285714,16.14285714,14,88.71428571,66.57142857,44,1014.857143,1013.714286,1012.428571,16,14.42857143,10.71428571,15.57142857,3.571428571,23.71428571,0,1.285714286,261.8571429,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,8/17/2014,42,0.14969276,0.728945758,40,0.108325803,12.23951348,24.47902696,6072,3036.227611,0.28994166,28.85714286,24,19,17.14285714,15.85714286,14.57142857,81.57142857,64.85714286,47.42857143,1013.714286,1012.142857,1010.571429,16,15.71428571,14.14285714,14.28571429,3.857142857,23.57142857,0,1.857142857,251.8571429,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,8/31/2014,67,0.221270584,0.746967673,244,0.424507835,12.14226188,24.28452376,6322,3160.757296,0.230801536,31,26,21,19,18,17,84,66,48,1010,1009,1007,16,15,10,14,4,26,0,2,232,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-07-2014,73,0.289492062,0.715997274,206,0.616209751,12.67254508,25.34509016,5602,2801.021504,0.252882894,32.42857143,26.57142857,20,17.57142857,15.71428571,11.85714286,81.14285714,56.71428571,32,1010.714286,1009.428571,1007.857143,16,15.71428571,13,15.14285714,2.571428571,24.57142857,0.035714286,0.571428571,246.2857143,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,9/14/2014,62,0.23394658,0.709362916,41,0.087618205,12.20578085,24.4115617,6006,3003.151855,0.277309624,32.42857143,26.85714286,21.14285714,18,16.28571429,13.42857143,76.14285714,57.57142857,38.57142857,1010,1008.285714,1007,16,16,15.42857143,14.14285714,2.571428571,24,0,1.142857143,219.2857143,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
